position=<20214, -19269> velocity=<-2, 2>
position=<-50046, 50986> velocity=<5, -5>
position=<20193, 10842> velocity=<-2, -1>
position=<-9818, 10842> velocity=<1, -1>
position=<10220, -9232> velocity=<-1, 1>
position=<30239, -39343> velocity=<-3, 4>
position=<20284, -49378> velocity=<-2, 5>
position=<30294, -19269> velocity=<-3, 2>
position=<-40008, 40950> velocity=<4, -4>
position=<50389, -39341> velocity=<-5, 4>
position=<-9885, -49377> velocity=<1, 5>
position=<10199, -9235> velocity=<-1, 1>
position=<50330, -29303> velocity=<-5, 3>
position=<50311, 30913> velocity=<-5, -3>
position=<20199, 40947> velocity=<-2, -4>
position=<30311, 10836> velocity=<-3, -1>
position=<40334, -9232> velocity=<-4, 1>
position=<-19890, 50981> velocity=<2, -5>
position=<30253, -19266> velocity=<-3, 2>
position=<30291, 30908> velocity=<-3, -3>
position=<20292, -49377> velocity=<-2, 5>
position=<-40020, -29305> velocity=<4, 3>
position=<40264, 50981> velocity=<-4, -5>
position=<-29982, -39341> velocity=<3, 4>
position=<20192, -19268> velocity=<-2, 2>
position=<20215, 50986> velocity=<-2, -5>
position=<-9828, 40946> velocity=<1, -4>
position=<40329, -9234> velocity=<-4, 1>
position=<-29962, -49374> velocity=<3, 5>
position=<-29902, 40950> velocity=<3, -4>
position=<20262, -39343> velocity=<-2, 4>
position=<20259, -39341> velocity=<-2, 4>
position=<-9869, -39339> velocity=<1, 4>
position=<20229, 10842> velocity=<-2, -1>
position=<-39979, -19268> velocity=<4, 2>
position=<50322, -39344> velocity=<-5, 4>
position=<-9872, -49376> velocity=<1, 5>
position=<-49972, -29305> velocity=<5, 3>
position=<-39973, -9233> velocity=<4, 1>
position=<-39984, -19266> velocity=<4, 2>
position=<20246, -39344> velocity=<-2, 4>
position=<30270, -39340> velocity=<-3, 4>
position=<20204, 50985> velocity=<-2, -5>
position=<-50060, 40949> velocity=<5, -4>
position=<40344, -49376> velocity=<-4, 5>
position=<40331, 30913> velocity=<-4, -3>
position=<40316, 40947> velocity=<-4, -4>
position=<-29970, -19272> velocity=<3, 2>
position=<40349, -39338> velocity=<-4, 4>
position=<-29954, 20878> velocity=<3, -2>
position=<-29969, -49380> velocity=<3, 5>
position=<-39953, -39339> velocity=<4, 4>
position=<20240, 10842> velocity=<-2, -1>
position=<-19931, 30908> velocity=<2, -3>
position=<40273, 10836> velocity=<-4, -1>
position=<-29902, -19272> velocity=<3, 2>
position=<50392, 20875> velocity=<-5, -2>
position=<-29917, -49374> velocity=<3, 5>
position=<40295, 10836> velocity=<-4, -1>
position=<50366, -49378> velocity=<-5, 5>
position=<50308, 40944> velocity=<-5, -4>
position=<30288, -29302> velocity=<-3, 3>
position=<-50020, -49375> velocity=<5, 5>
position=<40353, -19268> velocity=<-4, 2>
position=<40292, -29302> velocity=<-4, 3>
position=<-50051, 40948> velocity=<5, -4>
position=<-19931, -19271> velocity=<2, 2>
position=<-40006, 20878> velocity=<4, -2>
position=<30328, -9234> velocity=<-3, 1>
position=<30258, -9230> velocity=<-3, 1>
position=<20248, 10837> velocity=<-2, -1>
position=<-9837, -29304> velocity=<1, 3>
position=<-19921, -29306> velocity=<2, 3>
position=<40311, 30914> velocity=<-4, -3>
position=<10215, -39339> velocity=<-1, 4>
position=<20204, -49379> velocity=<-2, 5>
position=<50371, 50982> velocity=<-5, -5>
position=<20262, 40944> velocity=<-2, -4>
position=<-50012, -29304> velocity=<5, 3>
position=<30247, 40949> velocity=<-3, -4>
position=<-50020, -39341> velocity=<5, 4>
position=<40282, -9231> velocity=<-4, 1>
position=<-19859, -19271> velocity=<2, 2>
position=<30258, -49378> velocity=<-3, 5>
position=<-9860, -9234> velocity=<1, 1>
position=<10255, 20877> velocity=<-1, -2>
position=<-40003, -9230> velocity=<4, 1>
position=<50300, 30911> velocity=<-5, -3>
position=<10236, -29305> velocity=<-1, 3>
position=<-40013, -49378> velocity=<4, 5>
position=<30293, 20873> velocity=<-3, -2>
position=<10195, -9230> velocity=<-1, 1>
position=<-39956, 10841> velocity=<4, -1>
position=<-49975, 10836> velocity=<5, -1>
position=<-19908, -39343> velocity=<2, 4>
position=<-39937, -9230> velocity=<4, 1>
position=<40294, -49380> velocity=<-4, 5>
position=<50361, -29304> velocity=<-5, 3>
position=<-9836, -49375> velocity=<1, 5>
position=<30274, 40946> velocity=<-3, -4>
position=<-19869, 40950> velocity=<2, -4>
position=<-19902, -29303> velocity=<2, 3>
position=<50335, -39338> velocity=<-5, 4>
position=<-19951, 50980> velocity=<2, -5>
position=<20267, 10842> velocity=<-2, -1>
position=<10199, 50984> velocity=<-1, -5>
position=<-9822, 20878> velocity=<1, -2>
position=<-9822, -19272> velocity=<1, 2>
position=<50342, -9234> velocity=<-5, 1>
position=<50399, 20878> velocity=<-5, -2>
position=<30298, -49378> velocity=<-3, 5>
position=<40345, -29302> velocity=<-4, 3>
position=<-19902, -29307> velocity=<2, 3>
position=<10164, -39338> velocity=<-1, 4>
position=<40325, -39341> velocity=<-4, 4>
position=<10186, 40945> velocity=<-1, -4>
position=<-19913, -39339> velocity=<2, 4>
position=<-19902, 20872> velocity=<2, -2>
position=<10174, -39343> velocity=<-1, 4>
position=<-49984, -9230> velocity=<5, 1>
position=<-19878, 10842> velocity=<2, -1>
position=<-19941, 50983> velocity=<2, -5>
position=<-29941, 50983> velocity=<3, -5>
position=<-50007, 10836> velocity=<5, -1>
position=<10197, 30911> velocity=<-1, -3>
position=<30237, -39338> velocity=<-3, 4>
position=<-49983, -19266> velocity=<5, 2>
position=<40273, -19270> velocity=<-4, 2>
position=<-50059, -29305> velocity=<5, 3>
position=<-50039, -39342> velocity=<5, 4>
position=<-19922, 40948> velocity=<2, -4>
position=<-29987, 30912> velocity=<3, -3>
position=<50302, -29305> velocity=<-5, 3>
position=<-39924, 30909> velocity=<4, -3>
position=<10156, 40946> velocity=<-1, -4>
position=<40335, -29308> velocity=<-4, 3>
position=<-49968, 10840> velocity=<5, -1>
position=<40335, -9233> velocity=<-4, 1>
position=<-19861, -9232> velocity=<2, 1>
position=<-39964, 40947> velocity=<4, -4>
position=<-29900, -9232> velocity=<3, 1>
